Date,Home,Away,SourceHome,SourceAway,HG,AG,HTHG,HTAG,MatchScore
2018-08-12,Ostersunds,Kalmar,Östersunds FK,Kalmar FF,2,0,0,0,0.8831168831168831
2018-08-12,Hacken,Djurgarden,BK Häcken,Djurgården,5,0,2,0,0.9285714285714286
2018-08-12,AIK,Elfsborg,AIK,IF Elfsborg,1,0,0,0,0.9444444444444444
2018-08-05,Orebro,Hacken,Orebro SK,BK Häcken,1,2,0,0,0.8571428571428571
2018-08-05,Hammarby,Trelleborgs,Hammarby IF,Trelleborgs FF,1,0,0,0,0.9027777777777777
2018-08-04,Kalmar,Goteborg,Kalmar FF,IFK Göteborg,2,1,0,0,0.849624060150376
2018-08-04,Brommapojkarna,Dalkurd,IF Brommapojkarna,Dalkurd FF,2,1,0,1,0.9041666666666667
2018-07-29,Hacken,Orebro,BK Häcken,Orebro SK,1,1,0,0,0.8571428571428571
2018-07-29,Djurgarden,Sundsvall,Djurgården,GIF Sundsvall,1,1,0,0,0.9285714285714286
2018-07-29,AIK,Kalmar,AIK,Kalmar FF,1,0,0,0,0.9285714285714286
2018-07-28,Ostersunds,Elfsborg,Östersunds FK,IF Elfsborg,1,0,1,0,0.898989898989899
2018-07-28,Goteborg,Brommapojkarna,IFK Göteborg,IF Brommapojkarna,3,0,1,0,0.887719298245614
2018-07-22,Sirius,Goteborg,IK Sirius,IFK Göteborg,3,2,1,2,0.849624060150376
2018-07-22,Djurgarden,Hacken,Djurgården,BK Häcken,2,1,1,1,0.9285714285714286
2018-07-22,AIK,Brommapojkarna,AIK,IF Brommapojkarna,5,1,1,1,0.9666666666666667
2018-07-21,Ostersunds,Trelleborgs,Östersunds FK,Trelleborgs FF,4,1,4,1,0.9128787878787878
2018-07-21,Orebro,Malmo FF,Orebro SK,Malmö FF,1,2,0,0,0.9285714285714286
2018-07-15,Sundsvall,AIK,GIF Sundsvall,AIK,0,1,0,0,0.9285714285714286
2018-07-15,Norrkoping,Hacken,IFK Norrköping,BK Häcken,2,1,1,1,0.8633540372670807
2018-07-15,Kalmar,Djurgarden,Kalmar FF,Djurgården,0,1,0,1,0.9285714285714286
2018-07-08,Orebro,Elfsborg,Orebro SK,IF Elfsborg,1,2,0,0,0.873015873015873
2018-07-08,Goteborg,Kalmar,IFK Göteborg,Kalmar FF,1,3,0,1,0.849624060150376
2018-07-08,Djurgarden,Norrkoping,Djurgården,IFK Norrköping,1,1,1,0,0.9347826086956521
2018-07-07,Sirius,Malmo FF,IK Sirius,Malmö FF,0,4,0,1,0.9285714285714286
2018-05-27,Sundsvall,Goteborg,GIF Sundsvall,IFK Göteborg,2,0,1,0,0.849624060150376
2018-05-27,Sirius,Djurgarden,IK Sirius,Djurgården,1,5,0,1,0.9285714285714286
2018-05-27,Malmo FF,Dalkurd,Malmö FF,Dalkurd FF,1,1,0,1,0.9375
2018-05-27,Kalmar,Hammarby,Kalmar FF,Hammarby IF,1,1,0,0,0.873015873015873
2018-05-27,Elfsborg,Trelleborgs,IF Elfsborg,Trelleborgs FF,2,1,2,1,0.9027777777777777
2018-05-27,Brommapojkarna,Orebro,IF Brommapojkarna,Orebro SK,0,0,0,0,0.8952380952380952
2018-05-26,AIK,Norrkoping,AIK,IFK Norrköping,3,3,2,0,0.9347826086956521
2018-05-20,Malmo FF,Hacken,Malmö FF,BK Häcken,2,0,0,0,0.9285714285714286
2018-05-20,Hammarby,AIK,Hammarby IF,AIK,0,1,0,0,0.9444444444444444
2018-05-19,Sundsvall,Ostersunds,GIF Sundsvall,Östersunds FK,2,3,1,2,0.8831168831168831
2018-05-19,Sirius,Trelleborgs,IK Sirius,Trelleborgs FF,1,1,1,1,0.8869047619047619
2018-05-13,Trelleborgs,Malmo FF,Trelleborgs FF,Malmö FF,1,0,0,0,0.9583333333333333
2018-05-13,Orebro,Hammarby,Orebro SK,Hammarby IF,1,2,1,0,0.873015873015873
2018-05-13,Goteborg,Norrkoping,IFK Göteborg,IFK Norrköping,0,2,0,0,0.8558352402745995
